company,end_date,location,salary,title,url
GRUPO EFE,Publicado hace 1 hora,"Santiago de Surco, Lima",2025,Practicante de Marketing,https://www.bumeran.com.pe/empleos/practicante-de-marketing-grupo-efe-1116840229.html
PRESTAMYPE,Publicado hace 2 horas,"Miraflores, Lima",2025,Practicante de Tasaciones,https://www.bumeran.com.pe/empleos/practicante-de-tasaciones-prestamype-1116839466.html
KEDA PERU BUILDING MATERIALS COMPANY SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,Publicado hace 4 horas,"Comas, Lima",2025,Practicante Comercial,https://www.bumeran.com.pe/empleos/practicante-comercial-keda-peru-building-materials-company-sociedad-comercial-de-responsabilidad-limitada-1116838374.html
LUZ DEL SUR S.A.A.,Publicado hace 7 horas,"San Isidro, Lima",2025,PRACTICANTE DE TRANSPORTE,https://www.bumeran.com.pe/empleos/practicante-de-transporte-luz-del-sur-s.a.a.-1116837197.html
Confidencial,Publicado hace 8 horas,"El Agustino, Lima",2025,Practicante de Laboratorio,https://www.bumeran.com.pe/empleos/practicante-de-laboratorio-1116836361.html
Confidencial,Publicado hace 8 horas,"El Agustino, Lima",2025,Practicante de HSE,https://www.bumeran.com.pe/empleos/practicante-de-hse-1116784740.html
Dominion Perú,Publicado hace 1 hora,"Chorrillos, Lima",2025,Practicante de tesorería,https://www.bumeran.com.pe/empleos/practicante-de-tesoreria-dominion-peru-1116840185.html
Bussines Complet,Publicado hace 6 horas,"Surquillo, Lima",2025,Practicante en Administración,https://www.bumeran.com.pe/empleos/practicante-en-administracion-bussines-complet-1116816276.html
Grupo Manabi Perú SAC,Publicado hace 6 horas,"Surquillo, Lima",2025,Practicante Comercial,https://www.bumeran.com.pe/empleos/practicante-comercial-grupo-manabi-peru-sac-1116816019.html
FRAGA SEGURIDAD EXTINTORES,Publicado hace 7 horas,"Lima, Lima",2025,Practicante de administracion,https://www.bumeran.com.pe/empleos/practicante-de-administracion-fraga-seguridad-extintores-1116815602.html
LIAS FUSION GOURMET S.A.C.,Actualizado hace 6 horas,"Surco, Lima",2025,Practicante Comercial,https://www.bumeran.com.pe/empleos/practicante-comercial-lias-fusion-gourmet-s.a.c.-1116795664.html
